Title,Artist,Year,Ranking,URL,Lyrics
Respect,Aretha Franklin,1967,1,https://www.genius.com/Aretha-Franklin-Respect-lyrics," what you want, baby, i got it what you need, do you know i got it? all i m askin  is for a little respect when you come home hey baby when you get home mister i ain t gonna do you wrong while you re gone ain t gon  do you wrong  cause i don t wanna all i m askin  is for a little respect when you come home baby when you get home yeah i m about to give you all of my money and all i m askin  in return, honey is to give me my propers when you get home  yeah, baby when you get home yeah ooh, your kisses, sweeter than honey and guess what?  so is my money all i want you to do for me, is give it to me when you get home yeah baby whip it to me when you get home, now r-e-s-p-e-c-t, find out what it means to me r-e-s-p-e-c-t, take care of t-c-b a little respect whoa, babe a little respect i get tired keep on tryin  you re runnin  out of fools and i ain t lyin  start when you come home or you might walk in and find out i m gone i gotta have a little respect"
Fight the Power,Public Enemy,1989,2,https://www.genius.com/Public-Enemy-Fight-the-Power-lyrics,"  yet our best trained, best educated, best equipped, best prepared troops refuse to fight. matter of fact, it’s safe to say that they would rather switch than fight w-e-l-o-v-e 108 f m19——89 the number, another summer sound of the funky drummer music hittin  your heart  cause i know you got soul!  listen if you re missin , y all, swingin while i m singin  , givin  whatcha gettin knowin  what i know and while the black band s sweatin  and the rhythm-rhyme rollin ! got to give us what we want gotta give us what we need our freedom of speech is freedom of death we ve got to fight the powers that be fight the power! fight the power!  fight the power! fight the power!   fight the power! fight the power!  fight the power! we ve got to fight the powers that be as the rhythm s designed to bounce, what counts is that the rhyme s designed to fill your mind, now that you ve realized the pride s arrived, we got to pump the stuff to make ya tough, from the heart it s a start, a work of art to revolutionize, make a change, nothin s strange people, people!  we are the same, no—we re not the same  cause we don t know the game what we need is awareness, we can t get careless!  you say,  what is this?  my beloved, let s get down to business, mental self-defensive fitness bum-rush the show! you gotta go for what you know to make everybody see!  in order to fight the powers that be fight the power! fight the power!  fight the power! fight the power!   fight the power! fight the power!  fight the power! we ve got to fight the powers that be fight the power!  fight the power! fight the power!  fight the power! fight the power!  fight the power! we ve got to fight the powers that be elvis was a hero to most, but he—elvis was a hero to most—elvis was a hero to most, but he never meant shit to me, you see, straight out racist—that sucker was simple and plain motherfuck him and john wayne!   cause i m black and i m proud, i m ready, i m hyped, plus i m amped most of my heroes don t appear on no stamps sample a look back; you look and find nothing but rednecks for 400 years, if you check don t worry be happy  was a number-one jam damn, if i say it, you can slap me right here get it—let s get this party started right, right on, c mon! what we got to say? power to the people, no delay make everybody see, in order to fight the powers that be fight the power! fight the power! fight the power! fight the power! we ve got to fight the powers that be what we got to say? fight the power! what we got to say? fight the power!  c mon! what we got to say? fight the power! what we got to say? fight the power!  c mon! yo, check this out, man ok, talk to me about the future of public enemy the future of public enemy got a—"
A Change Is Gonna Come,Sam Cooke,1964,3,https://www.genius.com/Sam-Cooke-A-Change-Is-Gonna-Come-lyrics," i was born by the river in a little tent oh, and just like the river, i ve been runnin ever since it s been a long a long time comin , but i know a change gon  come oh, yes it will it s been too hard livin but i m afraid to die cause i don t know what s up there beyond the sky it s been a long a long time comin , but i know a change gon  come oh, yes it will i go to the movie and i go downtown somebody keep tellin  me  don t hang around  it s been a long a long time comin , but i know a change gon  come oh, yes it will then i go to my brother and i say,  brother, help me please but he winds up knockin  me back down on my knees lor , there been times that i thought i couldn t last for long but now i think i m able to carry on it s been a long a long time comin , but i know a change gon  come oh, yes it will"
Like a Rolling Stone,Bob Dylan,1965,4,https://www.genius.com/Bob-Dylan-Like-a-Rolling-Stone-lyrics," once upon a time you dressed so fine threw the bums a dime in your prime, didn t you? people call, say  beware doll, you re bound to fall you thought they were all a-kiddin  you you used to laugh about everybody that was hangin  out now you don t talk so loud now you don t seem so proud about having to be scrounging your next meal how does it feel? how does it feel? to be without a home? like a complete unknown? like a rolling stone? aw, you ve gone to the finest school all right, miss lonely but ya know ya only used to get juiced in it nobody s ever taught ya how to live out on the street and now you’re gonna have to get used to it you say you never compromise with the mystery tramp, but now you realize he s not selling any alibis as you stare into the vacuum of his eyes and say, “do you want to make a deal?   how does it feel? how does it feel? to be on your own with no direction home a complete unknown like a rolling stone? aw, you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you never understood that it ain t no good you shouldn t let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat ain t it hard when you discover that he really wasn t where it s at after he took from you everything he could steal? how does it feel? how does it feel? to hang on your own with no direction home like a complete unknown like a rolling stone?  aw, princess on the steeple and all the pretty people they re all drinkin , thinkin  that they got it made exchangin  all precious gifts but you d better take your diamond ring, ya better pawn it, babe you used to be so amused at napoleon in rags and the language that he used go to him now, he calls ya, ya can t refuse when ya ain t got nothin , you got nothin  to lose you re invisible now, ya got no secrets to conceal how does it feel? aw, how does it feel? to be on your own with no direction home like a complete unknown like a rolling stone? "
Smells Like Teen Spirit,Nirvana,1991,5,https://www.genius.com/Nirvana-Smells-Like-Teen-Spirit-lyrics," load up on guns, bring your friends it s fun to lose and to pretend she s over-bored and self-assured oh no, i know a dirty word hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello with the lights out, it s less dangerous here we are now, entertain us i feel stupid and contagious here we are now, entertain us a mulatto, an albino a mosquito, my libido, yeah hey, yay i m worse at what i do best and for this gift, i feel blessed our little group has always been and always will until the end hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello with the lights out, it s less dangerous here we are now, entertain us i feel stupid and contagious here we are now, entertain us a mulatto, an albino a mosquito, my libido, yeah hey, yay and i forget just why i taste oh yeah, i guess it makes me smile i found it hard, it s hard to find oh well, whatever, never mind hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello with the lights out, it s less dangerous here we are now, entertain us i feel stupid and contagious here we are now, entertain us a mulatto, an albino a mosquito, my libido a denial, a denial a denial, a denial a denial, a denial a denial, a denial a denial"
What's Going On,Marvin Gaye,1971,6,https://www.genius.com/Marvin-Gaye-Whats-Going-On-lyrics," hey, hey-hey hey, what s happenin ? hey, brother, what s happenin ? boy, this is a groovy party man, i can dig it yeah, brother, solid, right on what s happenin ? hey, man, what s happening? woo everything is everything we re gonna do a get down today, boy, i ll tell ya mother, mother there s too many of you crying brother, brother, brother there s far too many of you dying you know we ve got to find a way to bring some loving here today, yeah father, father we don t need to escalate you see, war is not the answer for only love can conquer hate you know we ve got to find a way to bring some loving here today, oh  picket lines  and picket signs don t punish me  with brutality talk to me , so you can see oh, what s going on what s going on yeah, what s going on oh, what s going on ah-ah-ah-ah woo , woo ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya woo , woo ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya ba-da-boo-doo, boo-boo-boo-doo, boo-boo-boo ba-da-boo-boo-boo-doo, boo-boo-boo-ba-ba-do mother, mother everybody thinks we re wrong oh, but who are they to judge us simply  cause our hair is long? oh, you know we ve got to find a way to bring some understanding here today, oh-oh picket lines  and picket signs don t punish me  with brutality come on, talk to me , so you can see oh, what s going on yeah, what s going on tell me what s going on i ll tell you what s going on woo-ooh-ooh-ooh ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya-ya woo, woo ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya ba-da-boo-doo, boo-boo-boo-doo ba-da-boo-boo-boo-doo, ba-da-da-da-da-da-da woo ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya woo listen, ah-ya-ya-ya-ya-ya-ya-ya da-boo-doo, boo-boo-boo-doo da-boo-boo-doo, boo-boo-boo"
Strawberry Fields Forever,The Beatles,1967,7,https://www.genius.com/The-Beatles-Strawberry-Fields-Forever-lyrics," let me take you down,  cause i m going to strawberry fields nothing is real and nothing to get hung about strawberry fields forever living is easy with eyes closed misunderstanding all you see it s getting hard to be someone, but it all works out it doesn t matter much to me let me take you down,  cause i m going to strawberry fields nothing is real and nothing to get hung about strawberry fields forever no one, i think, is in my tree i mean, it must be high or low that is, you can t, you know, tune in, but it s all right that is, i think it s not too bad let me take you down,  cause i m going to strawberry fields nothing is real and nothing to get hung about strawberry fields forever always, no, sometimes, think it s me but you know, i know when it s a dream i think i know, i mean—er—yes, but it s all wrong that is, i think i disagree let me take you down,  cause i m going to strawberry fields nothing is real and nothing to get hung about strawberry fields forever strawberry fields forever strawberry fields forever cranberry sauce, cranberry sauce"
Get Ur Freak On,Missy Elliott,2001,8,https://www.genius.com/Missy-Elliott-Get-Ur-Freak-On-lyrics," これからみんなで めちゃくちゃ踊って 騒ごう 騒ごう headbanger hit me hit me hit me, hit me hit me give me some new shit give me some new shit give me some new shit give me some new shit missy be puttin  it down, i m the hottest  round i told y all mother— , y all can t stop me now listen to me now, i m lastin  twenty rounds and if you want me, nigga, then come on, get me now is you with me now?   then biggie-biggie-bounce i know you dig the way i sw-sw-switch my style people, sing around now, people, gather  round , now, people, jump around get your freak on , get your freak on get your freak on , get your freak on get your freak on , get your freak on get your, get your, get your , get your, get your freak on get your freak on , get your freak on get your freak on , get your freak on get your freak on , get your freak on get your, get your, get your , get your, get your freak on who s that bitch?  people you know me and timbaland been hot since twenty years ago what the dealio?  now what the drilly, yo?  you wanna battle me, then, nigga, let me know  got to feel it, son let me throw you some  people, here i come , now sweat me when i m done we got the radio shook like we got a gun get your freak on , get your freak on get your freak on , get your freak on get your freak on , get your freak on get your, get your, get your , get your, get your freak on get your freak on , get your freak on get your freak on , get your freak on get your freak on , get your freak on get your, get your, get your , get your, get your freak on quiet , hush your mouth silence when i spit it out in your face open your mouth, give you a taste ain t no stoppin  me copywritten so don t copy me y all do it sloppily and y all can t come close to me i know you feel me now , i know you hear me loud i scream it loud and proud , missy gon  blow it down people gon  play me now  in and outta town  cause i m the best around  with the crazy style  get your freak on , get your freak on get your freak on , get your freak on get your freak on , get your freak on get your, get your, get your , get your, get your freak on get your freak on , get your freak on get your freak on , get your freak on get your freak on , get your freak on get your, get your, get your , get your, get your freak on一 二 三 四"
Dreams,Fleetwood Mac,1977,9,https://www.genius.com/Fleetwood-Mac-Dreams-lyrics," now, here you go again you say you want your freedom well, who am i to keep you down? it s only right that you should play the way you feel it but listen carefully to the sound of your loneliness like a heartbeat drives you mad in the stillness of rememberin  what you had and what you lost and what you had and what you lost oh, thunder only happens when it s rainin players only love you when they re playing say,  women, they will come and they will go when the rain washes you clean, you ll know you ll know now, here i go again i see the crystal visions i keep my visions to myself it s only me who wants to wrap around your dreams and have you any dreams you d like to sell? dreams of loneliness like a heartbeat drives you mad in the stillness of rememberin  what you had and what you lost oh, what you had, oh, what you lost thunder only happens when it s rainin players only love you when they re playing women, they will come and they will go when the rain washes you clean, you ll know oh, thunder only happens when it s rainin players only love you when they re playing say,  women, they will come and they will go when the rain washes you clean, you ll know you ll know you will know oh, you ll know"
Hey Ya!,Outkast,2003,10,https://www.genius.com/Outkast-Hey-Ya-lyrics," one, two, three, uh! my baby don t mess around because she loves me so, and this i know for sure but does she really wanna but can t stand to see me walk out the door?  don t try to fight the feeling cause the thought alone is killing me right now thank god for mom and dad for sticking two together  cause we don t know how hey ya!  hey ya! hey ya!  hey ya! hey ya!  hey ya! hey ya!  hey ya! you think you ve got it, oh, you think you ve got it but  got it  just don t get it  til there s nothing at all we get together, oh, we get together but separate s always better when there s feelings involved if what they say is,  nothing is forever then what makes, then what makes, then what makes then what makes, what makes, what makes love the exception? so why oh, why oh, why oh, why oh, why oh are we so in denial when we know we re not happy here? y all don t wanna hear me, you just wanna dance hey ya!   hey ya!  don t want to meet your daddy hey ya!  just want you in my caddy hey ya!  don t want to meet your mama hey ya!  just want to make you cum-a  hey ya!  i m, i m, i m just being honest hey ya! i m just being honest hey, all right now, all right now, fellas now, what s cooler than being cool?  i can t hear ya i say what s, what s cooler than being cool?  all right, all right, all right, all right, all right, all right, all right, all right all right, all right, all right, all right, all right, all right okay now, ladies now, we gon  break this thing down in just a few seconds now, don t have me break this thing down for nothing now, i want to see y all on your baddest behavior lend me some sugar, i am your neighbor ah, here we go!  shake it, sh-shake it, shake it, sh-shake it shake it, sh-shake it, shake it, shake it, sh-shake it shake it like a polaroid picture, hey ya! shake it, sh-shake it, shake it, sh-shake it shake it, shake it , shake it, sugar shake it like a polaroid picture now, all the beyoncés and lucy lius and baby dolls, get on the floor you know what to do, oh, you know what to do you know what to do hey ya!   hey ya!  hey ya!   hey ya!  hey ya!   hey ya!  hey ya!   hey ya!  hey ya!  hey ya! "
